query,type,multi_part,notes
What is the capital of Canada?,SHORT_FACTUAL,false,
How many bytes are in a kilobyte?,SHORT_FACTUAL,false,
Who painted the Mona Lisa?,SHORT_FACTUAL,false,
When was the first iPhone released?,SHORT_FACTUAL,false,
What does HTTP stand for?,SHORT_FACTUAL,false,
How far is Earth from the Sun?,SHORT_FACTUAL,false,
Who wrote Pride and Prejudice?,SHORT_FACTUAL,false,
What is the largest ocean on Earth?,SHORT_FACTUAL,false,
How many bones are in the adult human body?,SHORT_FACTUAL,false,
What year did World War II end?,SHORT_FACTUAL,false,
What is the chemical symbol for sodium?,SHORT_FACTUAL,false,
Who invented the telephone?,SHORT_FACTUAL,false,
How tall is Mount Everest?,SHORT_FACTUAL,false,
What is the currency of Japan?,SHORT_FACTUAL,false,
What does CPU mean in computing?,SHORT_FACTUAL,false,
Who was the first person to walk on the Moon?,SHORT_FACTUAL,false,
What is the boiling point of water at sea level?,SHORT_FACTUAL,false,
Which planet is known as the Red Planet?,SHORT_FACTUAL,false,
How many players are on a soccer team on the field?,SHORT_FACTUAL,false,
What's the population of Australia?,SHORT_FACTUAL,false,
Who discovered penicillin?,SHORT_FACTUAL,false,
What is the smallest prime number?,SHORT_FACTUAL,false,
When did India gain independence?,SHORT_FACTUAL,false,
What language is primarily spoken in Brazil?,SHORT_FACTUAL,false,
What is the speed of light in a vacuum?,SHORT_FACTUAL,false,
Why does the sky look blue during the day?,EXPLANATION,false,
Can you explain how a neural network learns from data?,EXPLANATION,false,
Why do we get seasons on Earth?,EXPLANATION,false,
How does a refrigerator keep food cold?,EXPLANATION,false,
Explain the difference between RAM and storage in simple terms.,EXPLANATION,false,
Why does increasing interest rates usually reduce borrowing?,EXPLANATION,false,
Can you break down what overfitting means in machine learning?,EXPLANATION,false,
Why do airplanes stay in the air?,EXPLANATION,false,
How does GPS figure out where my phone is?,EXPLANATION,false,
Why is SQL useful when working with databases?,EXPLANATION,false,
Explain what an API actually does between two applications.,EXPLANATION,false,
Why do leaves change color before they fall?,EXPLANATION,false,
What causes a solar eclipse?,EXPLANATION,false,
Could you explain recursion without using too much jargon?,EXPLANATION,false,
Why can a model with high accuracy still be misleading?,EXPLANATION,false,
How does a credit card payment get processed?,EXPLANATION,false,
Explain why Docker containers are useful for deploying apps.,EXPLANATION,false,
Why does bread rise when you add yeast?,EXPLANATION,false,
How does public-key encryption work at a high level?,EXPLANATION,false,
Why do batteries lose capacity over time?,EXPLANATION,false,
Can you explain what an index does in a database?,EXPLANATION,false,
Why does exercise make your heart rate go up?,EXPLANATION,false,
Explain how a recommendation system decides what to show me.,EXPLANATION,false,
Why are transformers so effective for language tasks?,EXPLANATION,false,
How does a compiler turn source code into something a computer can run?,EXPLANATION,false,
"Which is better for a small web app, Flask or FastAPI?",COMPARISON,false,
What are the main differences between SQL and NoSQL databases?,COMPARISON,false,
Python vs JavaScript for a beginner: which should I learn first?,COMPARISON,false,
How does supervised learning compare with unsupervised learning?,COMPARISON,false,
Is PostgreSQL better than MySQL for analytics workloads?,COMPARISON,false,
Compare REST APIs and GraphQL for a mobile application.,COMPARISON,false,
"What's the difference between precision and recall, and when would I favor one?",COMPARISON,false,Borderline with EXPLANATION because it asks for both a difference and usage guidance.
Docker Compose or Kubernetes for a few services—which makes more sense?,COMPARISON,false,
